2025-06-24 21:05:32,300 - INFO - 🎤 检测到新语音命令: 'wei wei wei\n'
2025-06-24 21:05:32,301 - INFO - 正在查询视觉模型, 问题: wei wei wei\n
2025-06-24 21:05:32,316 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b08fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:05:36,221 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:05:36,235 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b082b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:06:36,302 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:06:36,317 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a080>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:07:36,384 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:07:36,390 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a7d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:08:36,451 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:08:36,457 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a890>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:09:36,519 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:09:36,525 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83aabca0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:10:36,590 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:10:36,604 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a3b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:11:36,671 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:11:36,685 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b08490>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:12:36,753 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 21:12:50,628 - ERROR - 查询视觉模型失败: ("Connection broken: InvalidChunkLength(got length b'', 0 bytes read)", InvalidChunkLength(got length b'', 0 bytes read))
